participant_id	study	ses_id	euler	rater_1	rater_3	rater_4	rater_5	rater_6	across_rater_average	qc_determination
sub-A00039755	NKI	ses-BAS1	-44	1	1	1	1	1	1	Pass
sub-A00039758	NKI	ses-BAS1	-38	1	1	1	1	1	1	Pass
sub-A00039783	NKI	ses-BAS1	-116	1	1	1	1	1	1	Pass
sub-A00039820	NKI	ses-BAS2	-66	1	1	1	1	1	1	Pass
sub-A00039845	NKI	ses-BAS1	-79	1	1	1	1	0.75	0.95	Artifact
sub-A00039943	NKI	ses-FLU2	-39	1	1	1	1	1	1	Pass
sub-A00039975	NKI	ses-BAS2	-93	1	1	1	1	1	1	Pass
sub-A00040055	NKI	ses-BAS1	-78	1	1	1	1	1	1	Pass
sub-A00040193	NKI	ses-BAS1	-87	1	1	1	1	1	1	Pass
sub-A00040285	NKI	ses-BAS1	-42	1	1	1	1	1	1	Pass
sub-A00040286	NKI	ses-BAS1	-32	1	1	1	1	1	1	Pass
sub-A00040301	NKI	ses-BAS1	-73	1	1	1	1	1	1	Pass
sub-A00040311	NKI	ses-BAS2	-93	1	1	1	1	1	1	Pass
sub-A00040494	NKI	ses-BAS1	-48	1	1	1	1	1	1	Pass
sub-A00040741	NKI	ses-BAS1	-38	1	1	1	1	1	1	Pass
sub-A00040806	NKI	ses-BAS1	-117	0.75	0.5	0.75	0.75	0.5	0.65	Artifact
sub-A00040815	NKI	ses-BAS1	-72	1	1	1	1	1	1	Pass
sub-A00040827	NKI	ses-BAS1	-34	1	1	1	1	1	1	Pass
sub-A00043740	NKI	ses-FLU1	-59	1	1	1	1	1	1	Pass
sub-A00043762	NKI	ses-FLU2	-33	1	1	1	1	1	1	Pass
sub-A00050720	NKI	ses-BAS1	-64	1	1	1	1	0.75	0.95	Artifact
sub-A00050815	NKI	ses-BAS1	-102	1	1	1	1	1	1	Pass
sub-A00051023	NKI	ses-BAS1	-47	1	1	1	1	1	1	Pass
sub-A00051455	NKI	ses-BAS1	-51	1	1	1	1	1	1	Pass
sub-A00051678	NKI	ses-BAS1	-92	1	1	1	1	1	1	Pass
sub-A00051927	NKI	ses-BAS1	-52	1	1	1	1	1	1	Pass
sub-A00052125	NKI	ses-BAS1	-43	1	1	1	1	1	1	Pass
sub-A00052237	NKI	ses-FLU2	-70	1	1	1	1	1	1	Pass
sub-A00052307	NKI	ses-BAS1	-102	1	1	1	1	1	1	Pass
sub-A00052461	NKI	ses-FLU1	-71	1	1	1	1	1	1	Pass
sub-A00052499	NKI	ses-BAS1	-32	1	1	1	1	1	1	Pass
sub-A00053171	NKI	ses-BAS1	-414	0	0	0	0	0	0	Fail
sub-A00053456	NKI	ses-BAS1	-74	1	1	1	1	1	1	Pass
sub-A00053473	NKI	ses-BAS1	-44	1	1	1	1	1	1	Pass
sub-A00053901	NKI	ses-BAS1	-27	1	1	1	1	1	1	Pass
sub-A00053949	NKI	ses-BAS1	-108	1	1	1	1	1	1	Pass
sub-A00054019	NKI	ses-BAS1	-58	1	1	1	1	1	1	Pass
sub-A00054206	NKI	ses-TRT	-193	1	0	0	1	0.75	0.55	Artifact
sub-A00054581	NKI	ses-FLU1	-78	1	1	1	1	1	1	Pass
sub-A00054857	NKI	ses-BAS2	-22	1	1	1	1	1	1	Pass
sub-A00055061	NKI	ses-BAS1	-21	1	1	1	1	1	1	Pass
sub-A00055215	NKI	ses-BAS1	-37	1	1	1	1	1	1	Pass
sub-A00055332	NKI	ses-BAS1	-76	1	1	1	1	1	1	Pass
sub-A00055692	NKI	ses-BAS1	-54	1	1	1	1	1	1	Pass
sub-A00055693	NKI	ses-FLU1	-168	1	1	1	1	1	1	Pass
sub-A00055763	NKI	ses-FLU1	-47	1	1	1	1	1	1	Pass
sub-A00055908	NKI	ses-FLU1	-52	1	1	1	1	1	1	Pass
sub-A00055920	NKI	ses-BAS1	-80	1	1	1	1	1	1	Pass
sub-A00056138	NKI	ses-TRT	-65	1	1	1	1	1	1	Pass
sub-A00056198	NKI	ses-TRT	-136	1	0.75	1	0.75	1	0.9	Artifact
sub-A00056295	NKI	ses-FLU2	-178	1	0.75	1	1	1	0.95	Artifact
sub-A00056295	NKI	ses-TRT	-251	0.75	0.25	0.75	0.5	1	0.65	Artifact
sub-A00056419	NKI	ses-BAS1	-220	0.5	0	0.25	0.25	0.5	0.3	Artifact
sub-A00056452	NKI	ses-BAS1	-40	1	1	1	1	1	1	Pass
sub-A00056470	NKI	ses-TRT	-76	1	1	1	1	1	1	Pass
sub-A00057182	NKI	ses-BAS1	-79	1	1	1	1	1	1	Pass
sub-A00057372	NKI	ses-BAS1	-51	1	1	1	1	1	1	Pass
sub-A00057445	NKI	ses-BAS1	-33	1	1	1	1	1	1	Pass
sub-A00057862	NKI	ses-FLU1	-80	1	1	1	1	1	1	Pass
sub-A00057863	NKI	ses-FLU2	-503	0	0	0	0	0	0	Fail
sub-A00058004	NKI	ses-BAS1	-275	0.25	0.25	0.25	0.25	0	0.2	Artifact
sub-A00059326	NKI	ses-FLU2	-41	1	1	1	1	1	1	Pass
sub-A00059428	NKI	ses-BAS1	-30	1	1	1	1	1	1	Pass
sub-A00059663	NKI	ses-BAS1	-94	1	1	1	1	1	1	Pass
sub-A00059990	NKI	ses-BAS1	-105	1	1	1	1	1	1	Pass
sub-A00060185	NKI	ses-BAS1	-95	1	1	1	1	0.75	0.95	Artifact
sub-A00060301	NKI	ses-BAS1	-300	0.5	0.25	0.75	0.25	0.25	0.4	Artifact
sub-A00060493	NKI	ses-BAS1	-226	0.5	0	0.75	0.5	1	0.55	Artifact
sub-A00060576	NKI	ses-BAS1	-62	1	1	1	1	1	1	Pass
sub-A00060582	NKI	ses-BAS1	-36	1	1	1	1	1	1	Pass
sub-A00060806	NKI	ses-TRT	-67	1	1	1	1	1	1	Pass
sub-A00061298	NKI	ses-BAS1	-68	1	1	1	1	1	1	Pass
sub-A00061415	NKI	ses-FLU2	-159	1	0	1	0.75	1	0.75	Artifact
sub-A00061600	NKI	ses-BAS1	-56	1	1	1	1	1	1	Pass
sub-A00061647	NKI	ses-BAS1	-33	1	1	1	1	1	1	Pass
sub-A00061656	NKI	ses-BAS1	-56	1	1	1	1	1	1	Pass
sub-A00061656	NKI	ses-BAS2	-65	1	0.75	1	1	1	0.95	Artifact
sub-A00061714	NKI	ses-FLU1	-85	1	1	1	1	1	1	Pass
sub-A00061725	NKI	ses-BAS1	-75	1	1	1	1	1	1	Pass
sub-A00061749	NKI	ses-BAS1	-64	1	1	1	1	1	1	Pass
sub-A00061767	NKI	ses-BAS1	-146	1	1	1	1	1	1	Pass
sub-A00061881	NKI	ses-BAS1	-35	1	1	1	1	1	1	Pass
